,ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,nb,na,w3exptime,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
0,269.3872758,-30.7195147,17h57m32.95s,-30d43m10.25s,0.0497,0.0447,-0.0129,9.45,0.039,27.8,5.264,6.347,0.031,34.7,1.476,2.917,0.024,44.9,4.782,1,0,1.1,,,0,55454.440545,1300956511,13.282,0.05,12.373,0.059,12.099,0.05,0.385279,168.039259
1,269.388098,-30.7190863,17h57m33.14s,-30d43m08.71s,0.0257,0.0217,0.0042,9.365,0.02,55.2,87.38,6.813,0.013,84.2,583.6,2.585,0.019,57.2,15.64,1,0,1.1,,,0,55457.218293,1300956506,12.395,0.047,11.425,0.046,11.084,0.043,2.871518,66.057689
2,269.3877944,-30.7190991,17h57m33.07s,-30d43m08.76s,0.0354,0.0366,0.0164,9.446,0.022,48.7,36.71,5.922,0.028,38.5,240.6,2.841,0.019,56.7,7.83,1,0,1.1,,,0,55457.350597,1300956511,13.282,0.05,12.373,0.059,12.099,0.05,2.022713,56.403978
3,269.3872661,-30.7193661,17h57m32.94s,-30d43m09.72s,0.0263,0.0461,0.0185,9.29,0.025,44.1,10.25,6.392,0.021,50.7,4.386,2.935,0.02,54.7,3.409,2,0,1.1,,,0,55457.482901,1300956511,13.282,0.05,12.373,0.059,12.099,0.05,0.165717,17.499081
4,269.3873615,-30.7194113,17h57m32.97s,-30d43m09.88s,0.0358,0.037,0.0074,9.235,0.025,43.3,5.993,6.521,0.026,41.4,3.113,2.791,0.022,48.6,7.259,1,0,1.1,,,0,55457.615078,1300956511,13.282,0.05,12.373,0.059,12.099,0.05,0.345105,90.777041
5,269.3873743,-30.7192183,17h57m32.97s,-30d43m09.19s,0.0339,0.0378,-0.0155,9.341,0.024,44.5,14.14,6.459,0.035,30.9,12.79,2.699,0.018,59.6,11.02,1,0,1.1,,,0,55457.681294,1300956511,13.282,0.05,12.373,0.059,12.099,0.05,0.790097,29.13639
6,269.3873214,-30.7193595,17h57m32.96s,-30d43m09.69s,0.0349,0.0357,-0.0112,9.283,0.022,49.0,9.983,6.397,0.029,37.3,7.841,2.756,0.018,59.6,15.81,1,0,1.1,,,0,55457.747382,1300956511,13.282,0.05,12.373,0.059,12.099,0.05,0.286141,50.554909
7,269.3873813,-30.7193922,17h57m32.97s,-30d43m09.81s,0.0292,0.0426,0.0076,9.307,0.026,41.5,3.738,6.55,0.024,46.2,0.5717,2.845,0.017,64.1,3.675,2,0,1.1,,,0,55457.813471,1300956511,13.282,0.05,12.373,0.059,12.099,0.05,0.411378,81.038556
8,269.3872945,-30.7194491,17h57m32.95s,-30d43m10.02s,0.0367,0.0362,-0.0033,9.158,0.024,44.4,13.12,6.423,0.037,29.6,1.148,2.904,0.017,65.4,6.968,1,0,1.1,,,0,55457.813598,1300956511,13.282,0.05,12.373,0.059,12.099,0.05,0.196925,135.625328
9,269.3873349,-30.7193401,17h57m32.96s,-30d43m09.62s,0.037,0.0373,-0.012,9.239,0.024,45.2,13.11,6.376,0.027,40.1,14.09,2.69,0.021,52.3,4.79,1,0,1.1,,,0,55457.879686,1300956511,13.282,0.05,12.373,0.059,12.099,0.05,0.363814,46.237595
10,269.3873229,-30.7194364,17h57m32.96s,-30d43m09.97s,0.0333,0.0294,0.0068,9.244,0.022,49.8,12.57,6.478,0.022,48.3,0.9724,2.966,0.021,52.3,12.03,1,0,1.1,,,0,55457.945775,1300956511,13.282,0.05,12.373,0.059,12.099,0.05,0.244809,112.843282
11,269.3873267,-30.7194705,17h57m32.96s,-30d43m10.09s,0.0327,0.0323,-0.0105,9.191,0.021,52.8,12.53,6.483,0.025,43.0,1.116,3.005,0.021,51.4,11.4,1,0,1.1,,,0,55458.078079,1300956511,13.282,0.05,12.373,0.059,12.099,0.05,0.322155,132.537559
12,269.3874283,-30.7194822,17h57m32.98s,-30d43m10.14s,0.0362,0.0359,-0.0024,9.205,0.024,46.2,5.791,6.455,0.026,42.5,6.792,2.796,0.024,45.9,4.365,1,0,1.1,,,0,55458.210383,1300956511,13.282,0.05,12.373,0.059,12.099,0.05,0.609965,115.221939
