,ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
0,269.3873352,-30.719412,17h57m32.96s,-30d43m09.88s,0.0463,0.046,-0.013,8.418,0.018,58.8,6.002,5.944,0.017,64.0,3.086,2.754,0.016,67.3,6.012,1.158,0.015,74.3,0.9516,1,0,0.0,0.029,0.101,0.0,,,0,55275.144196,1300956511,13.282,0.05,12.373,0.059,12.099,0.05,0.263774,91.564137
1,269.3872087,-30.7194406,17h57m32.93s,-30d43m09.99s,0.0424,0.0458,-0.0128,8.289,0.021,52.0,9.849,6.022,0.02,54.6,3.066,2.692,0.009,126.5,9.588,1.14,0.016,68.8,0.6069,1,0,0.0,0.028,0.099,0.0,,,0,55275.276627,1300956511,13.282,0.05,12.373,0.059,12.099,0.05,0.16874,229.243367
2,269.3873321,-30.7194566,17h57m32.96s,-30d43m10.04s,0.0381,0.0394,-0.0151,8.457,0.02,54.1,3.875,6.02,0.018,60.8,2.604,2.714,0.01,112.1,7.069,1.13,0.01,109.4,1.477,1,0,0.0,0.028,0.119,0.0,,,0,55275.408931,1300956511,13.282,0.05,12.373,0.059,12.099,0.05,0.304471,123.434687
3,269.3873287,-30.7194074,17h57m32.96s,-30d43m09.87s,0.036,0.0398,-0.0132,8.431,0.016,66.0,5.387,5.932,0.018,61.4,5.438,2.652,0.013,82.4,5.786,1.174,0.009,120.4,1.891,1,0,0.0,0.044,0.087,0.0,,,0,55275.475019,1300956511,13.282,0.05,12.373,0.059,12.099,0.05,0.243745,87.799268
4,269.3872851,-30.7194654,17h57m32.95s,-30d43m10.08s,0.0472,0.0509,-0.0116,8.439,0.017,62.7,10.23,6.093,0.018,59.9,4.158,2.657,0.012,91.4,6.043,1.18,0.026,41.4,0.9612,1,0,0.0,0.043,0.091,0.0,,,0,55275.541235,1300956511,13.282,0.05,12.373,0.059,12.099,0.05,0.227113,151.424192
5,269.3872846,-30.7193961,17h57m32.95s,-30d43m09.83s,0.0421,0.046,-0.0111,8.226,0.021,51.9,9.773,5.997,0.021,50.7,1.374,2.713,0.012,93.9,5.845,1.168,0.011,101.1,2.799,1,0,0.0,0.058,0.104,0.0,,,0,55275.607323,1300956511,13.282,0.05,12.373,0.059,12.099,0.05,0.118203,64.952999
6,269.3872371,-30.719375,17h57m32.94s,-30d43m09.75s,0.0459,0.0534,-0.0143,8.431,0.018,61.4,8.511,5.853,0.021,50.7,2.303,2.72,0.011,96.3,8.67,1.143,0.018,60.8,0.5009,1,0,0.0,0.028,0.1,0.0,,,0,55275.673539,1300956511,13.282,0.05,12.373,0.059,12.099,0.05,0.132164,342.419021
7,269.3873556,-30.7195776,17h57m32.97s,-30d43m10.48s,0.0399,0.0655,-0.0046,8.531,0.021,51.2,6.376,6.267,0.015,71.5,5.639,2.866,0.012,88.0,5.618,1.166,0.024,45.6,1.323,2,0,0.0,0.06,0.099,0.0,,,0,55275.739755,1300956511,13.282,0.05,12.373,0.059,12.099,0.05,0.686188,151.557437
8,269.3873015,-30.7194164,17h57m32.95s,-30d43m09.90s,0.0398,0.0386,-0.0125,8.367,0.019,57.7,4.194,5.961,0.016,65.9,6.622,2.665,0.011,100.5,6.43,1.131,0.011,102.7,2.082,1,0,0.0,0.03,0.103,0.0,,,0,55275.872059,1300956511,13.282,0.05,12.373,0.059,12.099,0.05,0.161034,98.225487
9,269.3872815,-30.7194223,17h57m32.95s,-30d43m09.92s,0.0446,0.0466,-0.0155,8.332,0.02,53.1,8.423,6.101,0.026,42.5,2.514,2.686,0.013,80.5,4.485,1.11,0.01,107.9,1.062,1,0,0.0,0.029,0.103,0.0,,,0,55276.004363,1300956511,13.282,0.05,12.373,0.059,12.099,0.05,0.107091,114.428103
10,269.3873333,-30.7192974,17h57m32.96s,-30d43m09.47s,0.0363,0.0431,-0.012,8.344,0.015,74.3,17.69,5.791,0.013,84.1,9.406,2.672,0.013,85.8,14.56,1.06,0.019,58.3,0.7941,1,0,0.0,0.045,0.088,0.0,,,0,55276.136667,1300956511,13.282,0.05,12.373,0.059,12.099,0.05,0.480395,32.455557
