,ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
0,269.3874294,-30.7193949,17h57m32.98s,-30d43m09.82s,0.0521,0.0444,-0.0163,10.715,0.039,28.1,18.67,8.838,0.016,67.3,4.075,1,0,,,5,56737.08852314,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.557871,84.408155
1,269.3873875,-30.7194344,17h57m32.97s,-30d43m09.96s,0.0451,0.0451,-0.0123,10.848,0.038,28.7,32.87,8.831,0.015,70.7,4.448,1,0,,,5,56737.22019039,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.434508,101.663191
2,269.3874102,-30.7194145,17h57m32.98s,-30d43m09.89s,0.0491,0.0488,-0.0167,10.764,0.039,27.6,28.28,8.846,0.018,59.6,5.023,1,0,,,5,56737.35198501,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.496058,91.871506
3,269.3874144,-30.7194252,17h57m32.98s,-30d43m09.93s,0.0375,0.0368,-0.0057,10.693,0.04,27.0,26.79,8.823,0.014,79.9,5.61,1,0,,,5,56737.48365231,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.511731,96.138536
4,269.3875829,-30.7193785,17h57m33.02s,-30d43m09.76s,0.0546,0.0513,-0.0226,10.547,0.027,39.6,23.09,8.831,0.02,54.1,5.15,1,0,,,5,56737.54948593,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,1.036496,83.718949
5,269.3873664,-30.7194847,17h57m32.97s,-30d43m10.14s,0.0417,0.0485,-0.0185,10.778,0.04,27.2,29.64,8.851,0.018,62.0,8.108,1,0,,,5,56737.61531957,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.449543,126.741466
6,269.3874178,-30.7194196,17h57m32.98s,-30d43m09.91s,0.0483,0.0542,-0.0293,10.793,0.039,28.1,21.83,8.839,0.016,67.9,4.051,1,0,,,5,56737.68115323,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.520462,93.807417
7,269.3875463,-30.7194154,17h57m33.01s,-30d43m09.90s,0.047,0.0432,-0.0169,10.704,0.032,34.1,31.23,8.844,0.017,63.8,7.082,1,0,,,5,56737.81282053,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.917206,91.214536
8,269.3874308,-30.719445,17h57m32.98s,-30d43m10.00s,0.0458,0.0486,-0.017,10.691,0.038,28.6,21.92,8.813,0.017,63.0,3.549,1,0,,,5,56737.94448778,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.573559,102.690343
9,269.3874826,-30.7194675,17h57m33.00s,-30d43m10.08s,0.0497,0.054,-0.0187,10.624,0.034,32.0,37.28,8.798,0.018,58.9,4.067,1,0,,,5,56738.07615514,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.749035,106.042944
10,269.3875355,-30.7194101,17h57m33.01s,-30d43m09.88s,0.0366,0.0361,-0.0115,10.576,0.029,37.9,38.38,8.816,0.015,73.3,11.07,1,0,,,5,56740.24904806,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.88358,90.023417
11,269.3875728,-30.7193996,17h57m33.02s,-30d43m09.84s,0.0443,0.0423,-0.017,10.599,0.026,41.5,28.74,8.845,0.016,66.5,10.93,1,0,,,5,56740.31488171,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.999719,87.85382
12,269.3874963,-30.7193815,17h57m33.00s,-30d43m09.77s,0.0501,0.0479,0.0044,10.674,0.032,34.0,30.6,8.874,0.024,46.0,4.321,1,0,,,5,56740.38071541,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.769134,82.334144
13,269.3875065,-30.7193838,17h57m33.00s,-30d43m09.78s,0.0524,0.0526,-0.016,10.699,0.036,30.4,18.31,8.82,0.019,58.6,4.454,1,0,,,5,56740.44654906,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.79941,83.224138
14,269.3873717,-30.7194434,17h57m32.97s,-30d43m10.00s,0.0491,0.0527,-0.0259,10.699,0.036,30.2,39.91,8.837,0.02,55.3,4.869,1,0,,,5,56740.5123827,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.395371,107.705278
15,269.3874027,-30.7194314,17h57m32.98s,-30d43m09.95s,0.0458,0.0438,-0.018,10.818,0.038,28.3,21.34,8.851,0.015,72.3,3.539,1,0,,,5,56740.5782163,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.478819,99.258897
16,269.3874599,-30.7194022,17h57m32.99s,-30d43m09.85s,0.0402,0.0381,-0.0144,10.593,0.037,29.6,20.94,8.828,0.015,74.5,6.776,1,0,,,5,56740.70988351,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.650214,87.524923
17,269.3874332,-30.719421,17h57m32.98s,-30d43m09.92s,0.0424,0.0432,-0.0118,10.726,0.038,28.2,21.31,8.863,0.015,70.8,6.021,1,0,,,5,56740.84155081,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.568356,93.995341
18,269.3874936,-30.7194087,17h57m33.00s,-30d43m09.87s,0.0455,0.0442,-0.0136,10.999,0.041,26.6,25.77,8.847,0.017,65.8,9.515,1,0,,,5,56740.97321816,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.753919,89.644393
19,269.3874781,-30.7194894,17h57m32.99s,-30d43m10.16s,0.0484,0.0502,-0.0158,10.608,0.039,28.0,29.17,8.824,0.019,57.0,4.99,1,0,,,5,56919.37940571,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.761611,112.043596
20,269.3873771,-30.7194558,17h57m32.97s,-30d43m10.04s,0.0402,0.0463,-0.0131,10.812,0.043,25.1,26.02,8.822,0.017,65.4,9.831,1,0,,,5,56919.37953302,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.426509,112.74169
21,269.387441,-30.7194501,17h57m32.99s,-30d43m10.02s,0.04,0.0386,0.011,10.687,0.033,32.9,31.24,8.841,0.015,74.4,9.605,1,0,,,5,56919.51094583,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.608484,103.723982
22,269.3873643,-30.7194582,17h57m32.97s,-30d43m10.05s,0.0368,0.0389,-0.011,10.672,0.029,37.8,71.2,8.843,0.017,65.8,14.47,1,0,,,5,56919.51107315,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.394007,116.129308
23,269.3873611,-30.7194782,17h57m32.97s,-30d43m10.12s,0.0401,0.0357,-0.0038,10.824,0.032,34.3,59.13,8.849,0.015,73.5,8.601,1,0,,,5,56919.6424859,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.422492,125.529099
24,269.3873546,-30.719446,17h57m32.97s,-30d43m10.01s,0.0397,0.0483,-0.0095,10.868,0.053,20.4,19.82,8.823,0.017,62.4,4.364,1,0,,,5,56919.64261326,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.3487,111.818476
25,269.3873608,-30.7194238,17h57m32.97s,-30d43m09.93s,0.0423,0.0411,-0.0196,10.894,0.04,27.3,37.41,8.82,0.016,69.0,8.645,1,0,,,5,56919.70831964,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.346485,98.243578
26,269.3872737,-30.7194482,17h57m32.95s,-30d43m10.01s,0.046,0.0449,0.0111,10.878,0.051,21.3,20.58,8.847,0.017,65.4,7.118,1,0,,,5,56919.77415344,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.155846,151.92628
27,269.3873943,-30.7194363,17h57m32.97s,-30d43m09.97s,0.0546,0.0537,-0.0285,10.779,0.04,26.9,20.45,8.893,0.021,50.8,5.075,1,0,,,5,56919.83985981,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.456508,101.969983
28,269.3874211,-30.7194676,17h57m32.98s,-30d43m10.08s,0.0396,0.0431,-0.015,10.659,0.024,45.4,88.8,8.843,0.017,64.6,3.392,2,0,,,5,56919.90569355,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.56868,111.385062
29,269.3873136,-30.7194299,17h57m32.96s,-30d43m09.95s,0.0508,0.0428,-0.0125,10.73,0.05,21.5,16.0,8.863,0.017,65.5,6.019,1,0,,,5,56919.97139998,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.209455,109.999748
30,269.3873814,-30.7194566,17h57m32.97s,-30d43m10.04s,0.0521,0.0634,-0.0274,10.748,0.037,29.1,27.17,8.864,0.02,55.5,5.921,1,0,,,5,56920.10294009,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.439909,112.417588
31,269.3874266,-30.7194246,17h57m32.98s,-30d43m09.93s,0.0433,0.039,-0.0103,10.788,0.038,28.5,19.89,8.891,0.014,78.0,4.702,1,0,,,5,56920.23448013,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.549072,95.493112
32,269.3873561,-30.7194313,17h57m32.97s,-30d43m09.95s,0.0477,0.0445,-0.0147,10.649,0.04,27.2,18.29,8.839,0.016,69.4,6.99,1,0,,,5,56920.36602024,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.337199,103.144301
33,269.3874461,-30.7193691,17h57m32.99s,-30d43m09.73s,0.0488,0.0514,-0.022,10.678,0.036,30.0,37.7,8.883,0.017,62.4,4.628,1,0,,,5,57101.78489112,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.624505,76.362989
34,269.3875795,-30.7194043,17h57m33.02s,-30d43m09.86s,0.0481,0.0454,-0.0022,10.449,0.029,37.0,39.64,8.938,0.018,59.2,8.68,1,0,,,5,57101.78501844,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,1.019958,88.847303
35,269.3874877,-30.7194172,17h57m33.00s,-30d43m09.90s,0.0554,0.0599,-0.0298,10.729,0.037,29.5,26.69,8.907,0.02,54.9,3.516,1,0,,,5,57101.91630396,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.736103,92.018008
36,269.3873286,-30.7194399,17h57m32.96s,-30d43m09.98s,0.0591,0.0544,-0.0295,10.722,0.038,28.7,31.08,8.87,0.019,57.6,8.072,1,0,,,5,57102.04758943,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.266003,113.86936
37,269.3874055,-30.7194339,17h57m32.98s,-30d43m09.96s,0.0452,0.0484,-0.0063,10.696,0.031,35.0,43.89,8.886,0.017,62.6,3.526,1,0,,,5,57102.17887491,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.488884,100.13657
38,269.3874055,-30.719442,17h57m32.98s,-30d43m09.99s,0.0479,0.0519,-0.0238,10.739,0.039,27.8,39.43,8.914,0.02,55.0,10.31,1,0,,,5,57102.17900227,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.494847,103.46204
39,269.3874648,-30.7193988,17h57m32.99s,-30d43m09.84s,0.0546,0.0519,-0.0192,10.743,0.036,29.9,23.95,8.907,0.017,62.5,3.636,1,0,,,5,57102.24458132,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.665997,86.529186
40,269.3873858,-30.7194371,17h57m32.97s,-30d43m09.97s,0.0366,0.0374,-0.0112,10.816,0.035,30.7,42.66,8.863,0.015,71.1,12.07,1,0,,,5,57102.31028769,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.431453,103.068708
41,269.3874575,-30.7194136,17h57m32.99s,-30d43m09.89s,0.0482,0.0494,-0.0106,10.729,0.032,33.8,37.02,8.871,0.018,61.5,6.44,1,0,,,10,57102.37586675,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.642313,91.156196
42,269.3874003,-30.7194737,17h57m32.98s,-30d43m10.11s,0.0539,0.0593,-0.0177,10.895,0.046,23.6,24.29,8.885,0.021,51.7,4.375,1,0,,,5,57102.37599411,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.518608,116.24319
43,269.3874876,-30.7194483,17h57m33.00s,-30d43m10.01s,0.0418,0.0467,-0.0155,10.838,0.033,33.4,40.65,8.93,0.016,67.7,4.362,1,0,,,5,57102.44157316,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.748151,100.620067
44,269.3873386,-30.7194369,17h57m32.96s,-30d43m09.97s,0.053,0.0717,-0.02,10.77,0.037,29.5,39.58,8.892,0.021,51.9,5.297,1,0,,,5,57102.50727958,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.290807,109.451647
45,269.3873929,-30.7194647,17h57m32.97s,-30d43m10.07s,0.0501,0.0491,-0.0235,10.8,0.038,28.3,26.32,8.909,0.018,60.8,5.869,1,0,,,5,57102.638565,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.484116,114.001783
